id,wines_names,score,rank,grape
17943,Chloe Chardonnay,4.5,1,Chardonnay
5859611,Reserve Chardonnay,4.5,2,Chardonnay
8164925,Bentrock Vineyard Chardonnay,4.5,3,Chardonnay
2052637,One Sixteen Chardonnay,4.4,4,Chardonnay
6887039,Hyde Vineyard Chardonnay,4.4,5,Chardonnay
1611255,Cabernet Sauvignon,4.8,1,Cabernet_Sauvignon
66294,Special Selection Cabernet Sauvignon,4.7,2,Cabernet_Sauvignon
3879,Cabernet Sauvignon (Signature),4.6,3,Cabernet_Sauvignon
87360,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,4,Cabernet_Sauvignon
94692,Cabernet Sauvignon Coeur De Vallée,4.6,5,Cabernet_Sauvignon
91569,Calle Merlot Rosso Veronese,4.4,1,Merlot
6274335,110 e Lode Merlot,4.4,2,Merlot
3882,Merlot (Signature),4.3,3,Merlot
