wines_names_vintage,score,review_amount,price,toplist_rank,country_iso,name
Gitana Lupi Rezerva 2017,4.6,1155,36.55,15,md,Moldova
Tenuta Ulisse Limited Edition 10 Vendemmie,4.5,9453,34.2,5,it,Montepulciano d'Abruzzo
Pago de Carraovejas Tinto 2020,4.5,2129,42.95,1,es,Ribera del Duero
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2018,4.4,1748,24.75,17,it,Primitivo di Manduria
Guerrieri Guerriero della Terra 2019,4.4,1803,27.4,1,it,Marche
Casa Ermelinda Freitas Dona Ermelinda Grande Reserva 2017,4.4,483,29.95,8,pt,Península de Setúbal
Emilio Moro Malleolus 2020,4.4,625,35.95,18,es,Ribera del Duero
Arzuaga Reserva Ribera del Duero 2018,4.4,840,39.55,1,es,Ribera del Duero
Vilafonté Series M 2014,4.4,273,48.0,7,za,Paarl
Tommasi Amarone della Valpolicella Classico 2018,4.4,1570,49.8,4,it,Amarone della Valpolicella Classico
