name,ratings_average,ratings_count,price_euros
Caymus Special Selection Cabernet Sauvignon 1997,4.6,299,397.5
Leonetti Cabernet Sauvignon 2006,4.7,64,201.25
Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2005,4.5,65,260.0
Leonetti Cabernet Sauvignon 2008,4.6,125,178.75
Leonetti Cabernet Sauvignon 2004,4.6,36,221.25
Leonetti Cabernet Sauvignon 2009,4.5,163,201.25
Leonetti Cabernet Sauvignon 2001,0.0,24,201.25
Leonetti Cabernet Sauvignon 2003,4.6,42,201.25
Quebrada de Macul Domus Aurea Cabernet Sauvignon 2013,4.4,827,169.75
Scarecrow Cabernet Sauvignon 2015,4.8,243,1558.75
Eisele Vineyard Altagracia Cabernet Sauvignon 2012,4.4,552,162.15
Silver Oak Alexander Valley Cabernet Sauvignon 2017,4.5,3609,137.5
Caymus Special Selection Cabernet Sauvignon 2017,4.7,1890,443.0
Dunn Howell Mountain Cabernet Sauvignon 2017,4.6,235,295.0
Michael David Winery Rapture Cabernet Sauvignon 2017,4.4,224,106.0
Duckhorn Rutherford Cabernet Sauvignon 2017,4.6,56,147.5
Beaulieu Vineyard (BV) Georges De Latour Private Reserve Cabernet Sauvignon 2018,4.4,465,119.0
Darioush Cabernet Sauvignon (Signature) 2018,4.6,1081,106.96
Stag's Leap Wine Cellars CASK 23 Cabernet Sauvignon 2018,4.6,260,360.0
Joseph Phelps Vineyards Cabernet Sauvignon 2018,4.4,2594,85.95
Stag's Leap Wine Cellars S.L.V. Cabernet Sauvignon 2018,4.6,231,199.95
Buena Vista Chateau Buena Vista Cabernet Sauvignon Napa Valley 2018,4.4,3867,61.95
Stag's Leap Wine Cellars FAY Cabernet Sauvignon 2018,4.5,451,175.95
Forman Cabernet Sauvignon 2018,4.5,53,121.95
Peter Michael Au Paradis Cabernet Sauvignon 2018,4.5,98,412.5
Quilceda Creek Cabernet Sauvignon 2018,4.6,184,275.0
Caymus Cabernet Sauvignon 2019,4.6,15647,177.95
Shafer One Point Five Cabernet Sauvignon 2019,4.5,770,125.95
Joseph Phelps Vineyards Cabernet Sauvignon 2019,4.5,1765,95.95
Beaulieu Vineyard (BV) Georges De Latour Private Reserve Cabernet Sauvignon 2019,4.6,325,199.95
Lillian Cabernet Sauvignon 2016,0.0,17,209.05
Forman Cabernet Sauvignon 2019,0.0,11,134.95
Hourglass Blueline Estate Cabernet Sauvignon 2019,4.5,52,195.0
Marion Cabernet Sauvignon 2019,0.0,8,36.3
Stag's Leap Wine Cellars ARTEMIS Cabernet Sauvignon 2020,4.5,627,89.95
Alejandro Bulgheroni Lithology Cabernet Sauvignon 2019,4.5,32,154.6
Morlet Family Vineyards Cabernet Sauvignon Coeur De Vallée 2019,0.0,12,295.0
Cantina Kurtatsch Freienfeld Cabernet Sauvignon Riserva 2000,0.0,1,156.25
